model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,x,y
gpt-oss 120B,1k-1k,16,True,0.283,True,0.339,True,0.421,b200,fp4,4,True,1914.603,True,882305.697,245.259,1914.603
gpt-oss 120B,1k-1k,64,True,0.048,True,0.058,True,0.072,b200,fp4,1,True,11246.216,True,5182587.989,89.815,11246.216
gpt-oss 120B,1k-1k,16,False,0.544,False,0.653,False,0.809,b200,fp4,8,False,995.486,False,458749.169,254.471,995.486
gpt-oss 120B,1k-1k,8,False,0.98,False,1.176,False,1.457,b200,fp4,8,False,552.705,False,254702.944,286.138,552.705
gpt-oss 120B,1k-1k,8,True,0.491,True,0.589,True,0.73,b200,fp4,4,True,1103.925,True,508721.325,285.838,1103.925
gpt-oss 120B,1k-1k,64,True,0.1,True,0.12,True,0.149,b200,fp4,4,True,5405.35,True,2490944.499,174.834,5405.35
gpt-oss 120B,1k-1k,8,False,0.173,False,0.208,False,0.258,b200,fp4,1,False,3123.913,False,1439591.375,201.845,3123.913
gpt-oss 120B,1k-1k,4,True,1.677,True,2.012,True,2.493,b200,fp4,8,True,323.084,True,148886.641,334.927,323.084
gpt-oss 120B,1k-1k,16,True,0.172,True,0.206,True,0.255,b200,fp4,2,True,3154.291,True,1453590.184,201.725,3154.291
gpt-oss 120B,1k-1k,32,False,0.312,False,0.374,False,0.464,b200,fp4,8,False,1737.934,False,800891.06,225.056,1737.934
gpt-oss 120B,1k-1k,64,True,0.066,True,0.079,True,0.097,b200,fp4,2,True,8263.638,True,3808128.31,133.578,8263.638
gpt-oss 120B,1k-1k,4,False,0.286,False,0.343,False,0.425,b200,fp4,1,False,1894.323,False,872959.93,242.463,1894.323
gpt-oss 120B,1k-1k,32,False,0.104,False,0.125,False,0.154,b200,fp4,2,False,5216.826,False,2404067.239,168.67,5216.826
gpt-oss 120B,1k-1k,16,False,0.116,False,0.139,False,0.172,b200,fp4,1,False,4686.376,False,2159620.242,148.297,4686.376
gpt-oss 120B,1k-1k,4,False,0.529,False,0.635,False,0.787,b200,fp4,2,False,1023.039,False,471446.549,265.217,1023.039
gpt-oss 120B,1k-1k,32,True,0.172,True,0.206,True,0.256,b200,fp4,4,True,3150.906,True,1452030.358,204.685,3150.906
gpt-oss 120B,1k-1k,64,True,0.039,True,0.051,True,0.056,mi355x,fp4,1,True,10444.253,True,3941227.703,83.888,10444.253
gpt-oss 120B,1k-1k,8,True,0.141,True,0.181,True,0.2,mi355x,fp4,1,True,2911.403,True,1098642.77,189.379,2911.403
gpt-oss 120B,1k-1k,8,True,0.449,True,0.577,True,0.638,mi355x,fp4,4,True,914.866,True,345232.43,240.306,914.866
gpt-oss 120B,1k-1k,16,True,0.091,True,0.117,True,0.129,mi355x,fp4,1,True,4521.945,True,1706394.445,145.314,4521.945
gpt-oss 120B,1k-1k,4,True,1.535,True,1.971,True,2.179,mi355x,fp4,8,True,267.759,True,101041.278,281.727,267.759
gpt-oss 120B,1k-1k,32,False,0.262,False,0.337,False,0.372,mi355x,fp4,8,False,1567.683,False,591578.455,207.598,1567.683
gpt-oss 120B,1k-1k,8,True,0.801,True,1.029,True,1.137,mi355x,fp4,8,True,513.129,True,193633.761,269.778,513.129
gpt-oss 120B,1k-1k,16,False,0.453,False,0.582,False,0.643,mi355x,fp4,8,False,907.389,False,342411.071,238.387,907.389
gpt-oss 120B,1k-1k,4,True,0.225,True,0.289,True,0.319,mi355x,fp4,1,True,1826.886,True,689391.033,237.284,1826.886
gpt-oss 120B,1k-1k,16,False,0.257,False,0.33,False,0.364,mi355x,fp4,4,False,1600.805,False,604077.518,209.434,1600.805
gpt-oss 120B,1k-1k,64,False,0.16,False,0.205,False,0.226,mi355x,fp4,8,False,2576.199,False,972150.486,170.726,2576.199
gpt-oss 120B,1k-1k,64,False,0.1,False,0.129,False,0.142,mi355x,fp4,4,False,4105.639,False,1549297.902,133.899,4105.639
gpt-oss 120B,1k-1k,4,False,0.831,False,1.067,False,1.18,mi355x,fp4,4,False,494.425,False,186575.521,259.929,494.425
gpt-oss 120B,1k-1k,32,True,0.06,True,0.078,True,0.086,mi355x,fp4,1,True,6807.655,True,2568926.335,109.96,6807.655
gpt-oss 120B,1k-1k,32,False,0.158,False,0.203,False,0.224,mi355x,fp4,4,False,2600.578,False,981350.359,170.979,2600.578
gpt-oss 120B,1k-1k,64,False,0.283,False,0.349,False,0.321,h200_trt,fp4,8,False,1383.556,False,799743.562,87.93,1383.556
gpt-oss 120B,1k-1k,16,False,0.226,False,0.279,False,0.256,h200_trt,fp4,2,False,1733.548,False,1002051.082,110.195,1733.548
gpt-oss 120B,1k-1k,64,True,0.088,True,0.108,True,0.099,h200_trt,fp4,2,True,4468.302,True,2582833.773,71.419,4468.302
gpt-oss 120B,1k-1k,32,False,0.234,False,0.288,False,0.265,h200_trt,fp4,4,False,1676.384,False,969008.071,107.605,1676.384
gpt-oss 120B,1k-1k,16,True,0.143,True,0.176,True,0.162,h200_trt,fp4,1,True,2745.426,True,1586951.552,86.409,2745.426
gpt-oss 120B,1k-1k,32,False,0.096,False,0.118,False,0.109,h200_trt,fp4,1,False,4087.751,False,2362861.873,65.379,4087.751
gpt-oss 120B,1k-1k,32,False,0.144,False,0.178,False,0.163,h200_trt,fp4,2,False,2720.105,False,1572315.288,87.126,2720.105
gpt-oss 120B,1k-1k,4,True,0.601,True,0.742,True,0.682,h200_trt,fp4,2,True,651.673,True,376689.737,169.672,651.673
gpt-oss 120B,1k-1k,4,True,1.01,True,1.247,True,1.146,h200_trt,fp4,4,True,387.669,True,224085.856,201.251,387.669
gpt-oss 120B,1k-1k,64,True,0.066,True,0.081,True,0.074,h200_trt,fp4,1,True,5976.755,True,3454771.409,47.789,5976.755
gpt-oss 120B,1k-1k,16,False,0.377,False,0.465,False,0.428,h200_trt,fp4,4,False,1038.454,False,600262.394,132.882,1038.454
gpt-oss 120B,1k-1k,4,True,1.775,True,2.191,True,2.014,h200_trt,fp4,8,True,220.637,True,127535.949,230.318,220.637
gpt-oss 120B,1k-1k,64,True,0.144,True,0.177,True,0.163,h200_trt,fp4,4,True,2728.84,True,1577364.421,87.334,2728.84
gpt-oss 120B,1k-1k,16,False,0.705,False,0.87,False,0.8,h200_trt,fp4,8,False,555.479,False,321086.334,141.601,555.479
gpt-oss 120B,1k-1k,4,True,0.35,True,0.432,True,0.397,h200_trt,fp4,1,True,1118.379,True,646461.954,143.792,1118.379
gpt-oss 120B,1k-1k,8,True,0.217,True,0.267,True,0.246,h200_trt,fp4,1,True,1807.598,True,1044854.227,116.506,1807.598
gpt-oss 120B,1k-1k,8,False,0.603,False,0.744,False,0.684,h200_trt,fp4,4,False,649.357,False,375350.979,167.926,649.357
gpt-oss 120B,1k-1k,32,False,0.435,False,0.536,False,0.493,h200_trt,fp4,8,False,901.387,False,521033.156,115.65,901.387
gpt-oss 120B,1k-1k,8,False,1.159,False,1.431,False,1.316,h200_trt,fp4,8,False,337.838,False,195282.141,175.533,337.838
gpt-oss 120B,1k-1k,8,True,0.351,True,0.433,True,0.399,h200_trt,fp4,2,True,1115.053,True,644539.2,144.225,1115.053
gpt-oss 120B,1k-1k,8,True,0.309,True,0.384,True,0.434,mi325x,fp4,2,True,1151.081,True,528018.815,152.418,1151.081
gpt-oss 120B,1k-1k,4,True,1.735,True,2.156,True,2.44,mi325x,fp4,8,True,204.882,True,93982.726,221.991,204.882
gpt-oss 120B,1k-1k,64,True,0.094,True,0.116,True,0.131,mi325x,fp4,2,True,3802.624,True,1744322.938,62.007,3802.624
gpt-oss 120B,1k-1k,8,False,0.212,False,0.263,False,0.298,mi325x,fp4,1,False,1680.608,False,770921.126,109.646,1680.608
gpt-oss 120B,1k-1k,32,False,0.098,False,0.122,False,0.138,mi325x,fp4,1,False,3618.635,False,1659924.514,58.034,3618.635
gpt-oss 120B,1k-1k,16,False,0.148,False,0.184,False,0.208,mi325x,fp4,1,False,2405.122,False,1103266.82,77.93,2405.122
gpt-oss 120B,1k-1k,8,True,0.93,True,1.156,True,1.308,mi325x,fp4,8,True,382.214,True,175327.511,207.844,382.214
gpt-oss 120B,1k-1k,64,True,0.068,True,0.085,True,0.096,mi325x,fp4,1,True,5209.134,True,2389511.039,41.883,5209.134
gpt-oss 120B,1k-1k,32,True,0.131,True,0.163,True,0.184,mi325x,fp4,2,True,2711.407,True,1243764.487,89.098,2711.407
gpt-oss 120B,1k-1k,64,False,0.208,False,0.259,False,0.293,mi325x,fp4,8,False,1706.49,False,782793.631,113.844,1706.49
gpt-oss 120B,1k-1k,8,False,0.58,False,0.72,False,0.815,mi325x,fp4,4,False,613.542,False,281441.438,163.385,613.542
gpt-oss 120B,1k-1k,4,False,1.062,False,1.319,False,1.494,mi325x,fp4,4,False,334.744,False,153552.386,177.626,334.744
gpt-oss 120B,1k-1k,32,False,0.329,False,0.409,False,0.463,mi325x,fp4,8,False,1079.959,False,495394.021,147.365,1079.959
gpt-oss 120B,1k-1k,16,False,0.37,False,0.46,False,0.52,mi325x,fp4,4,False,960.864,False,440763.489,127.186,960.864
gpt-oss 120B,1k-1k,16,True,0.536,True,0.665,True,0.753,mi325x,fp4,8,True,663.754,True,304474.494,176.589,663.754
gpt-oss 120B,1k-1k,4,False,0.54,False,0.671,False,0.76,mi325x,fp4,2,False,658.211,False,301931.827,174.269,658.211
gpt-oss 120B,1k-1k,32,False,0.225,False,0.279,False,0.316,mi325x,fp4,4,False,1581.537,False,725475.592,105.383,1581.537
gpt-oss 120B,1k-1k,64,False,0.136,False,0.169,False,0.191,mi325x,fp4,4,False,2612.202,False,1198257.709,87.135,2612.202
gpt-oss 120B,1k-1k,16,True,0.2,True,0.248,True,0.281,mi325x,fp4,2,True,1781.384,True,817148.63,116.663,1781.384
gpt-oss 120B,1k-1k,4,False,0.339,False,0.421,False,0.477,mi325x,fp4,1,False,1048.581,False,481000.443,137.793,1048.581
gpt-oss 120B,1k-1k,64,True,0.078,True,0.096,True,0.089,h200,fp4,1,True,5021.173,True,2902411.912,39.82,5021.173
gpt-oss 120B,1k-1k,8,False,0.329,False,0.405,False,0.373,h200,fp4,2,False,1192.162,False,689110.933,154.332,1192.162
gpt-oss 120B,1k-1k,8,True,0.865,True,1.068,True,0.982,h200,fp4,8,True,452.71,True,261681.911,234.984,452.71
gpt-oss 120B,1k-1k,16,False,0.156,False,0.193,False,0.177,h200,fp4,1,False,2510.511,False,1451162.45,79.969,2510.511
gpt-oss 120B,1k-1k,4,False,0.891,False,1.099,False,1.011,h200,fp4,4,False,439.656,False,254136.485,229.134,439.656
gpt-oss 120B,1k-1k,4,False,0.345,False,0.426,False,0.392,h200,fp4,1,False,1134.397,False,655720.743,145.802,1134.397
gpt-oss 120B,1k-1k,64,True,0.096,True,0.118,True,0.109,h200,fp4,2,True,4095.466,True,2367321.548,65.216,4095.466
gpt-oss 120B,1k-1k,32,False,0.112,False,0.138,False,0.127,h200,fp4,1,False,3510.423,False,2029146.304,56.086,3510.423
gpt-oss 120B,1k-1k,8,False,0.234,False,0.289,False,0.266,h200,fp4,1,False,1673.943,False,967597,107.809,1673.943
gpt-oss 120B,1k-1k,4,False,0.537,False,0.662,False,0.609,h200,fp4,2,False,729.722,False,421804.512,187.135,729.722
gpt-oss 120B,1k-1k,16,False,0.21,False,0.259,False,0.239,h200,fp4,2,False,1863.33,False,1077069.308,118.636,1863.33
gpt-oss 120B,1k-1k,32,False,0.141,False,0.174,False,0.16,h200,fp4,2,False,2774.723,False,1603886.037,88.822,2774.723
gpt-oss 120B,1k-1k,64,True,0.128,True,0.158,True,0.145,h200,fp4,4,True,3064.399,True,1771328.931,98.157,3064.399
gpt-oss 120B,1k-1k,64,False,0.197,False,0.243,False,0.223,h200,fp4,8,False,1990.005,False,1150291.65,128.052,1990.005
gpt-oss 120B,1k-1k,32,True,0.195,True,0.241,True,0.221,h200,fp4,4,True,2008.796,True,1161153.58,129.44,2008.796
gpt-oss 120B,1k-1k,16,False,0.501,False,0.618,False,0.569,h200,fp4,8,False,781.586,False,451783.977,199.752,781.586
gpt-oss 120B,1k-1k,8,True,0.5,True,0.617,True,0.568,h200,fp4,4,True,782.84,True,452508.804,202.499,782.84
gpt-oss 120B,1k-1k,16,True,0.304,True,0.375,True,0.345,h200,fp4,4,True,1289.472,True,745359.646,163.477,1289.472
gpt-oss 120B,1k-1k,4,True,1.574,True,1.943,True,1.786,h200,fp4,8,True,248.814,True,143823.085,257.036,248.814
gpt-oss 120B,1k-1k,32,True,0.307,True,0.379,True,0.348,h200,fp4,8,True,1276.928,True,738108.508,164.903,1276.928
gpt-oss 120B,1k-1k,8,True,0.552,True,0.718,True,0.552,h100,fp4,4,True,653.98,True,378023.015,169.541,653.98
gpt-oss 120B,1k-1k,4,False,0.58,False,0.754,False,0.58,h100,fp4,2,False,622.538,False,359848.782,160.128,622.538
gpt-oss 120B,1k-1k,32,True,0.21,True,0.273,True,0.21,h100,fp4,4,True,1717.308,True,992663.822,110.22,1717.308
gpt-oss 120B,1k-1k,4,False,0.96,False,1.248,False,0.96,h100,fp4,4,False,376.039,False,217363.402,193.505,376.039
gpt-oss 120B,1k-1k,16,True,0.327,True,0.425,True,0.327,h100,fp4,4,True,1104.324,True,638337.535,141.437,1104.324
gpt-oss 120B,1k-1k,16,False,0.555,False,0.721,False,0.555,h100,fp4,8,False,651.031,False,376318.623,165.946,651.031
gpt-oss 120B,1k-1k,64,True,0.1,True,0.13,True,0.1,h100,fp4,2,True,3622.128,True,2093715.415,57.445,3622.128
gpt-oss 120B,1k-1k,4,True,1.754,True,2.28,True,1.754,h100,fp4,8,True,205.936,True,119038.061,212.522,205.936
gpt-oss 120B,1k-1k,64,True,0.138,True,0.18,True,0.138,h100,fp4,4,True,2610.125,True,1508743.051,83.596,2610.125
gpt-oss 120B,1k-1k,64,False,0.222,False,0.289,False,0.222,h100,fp4,8,False,1626.521,False,940185.369,104.506,1626.521
gpt-oss 120B,1k-1k,32,False,0.34,False,0.442,False,0.34,h100,fp4,8,False,1061.391,False,613520.808,136.596,1061.391
gpt-oss 120B,1k-1k,16,False,0.221,False,0.287,False,0.221,h100,fp4,2,False,1637.384,False,946464.801,103.999,1637.384
gpt-oss 120B,1k-1k,8,True,0.954,True,1.24,True,0.954,h100,fp4,8,True,378.7,True,218901.771,196.493,378.7
gpt-oss 120B,1k-1k,8,False,0.352,False,0.457,False,0.352,h100,fp4,2,False,1027.238,False,593779.113,132.534,1027.238
gpt-oss 120B,1k-1k,32,False,0.148,False,0.193,False,0.148,h100,fp4,2,False,2434.974,False,1407499.498,77.966,2434.974
gpt-oss 120B,1k-8k,16,False,0.237,False,0.294,False,0.333,mi325x,fp4,1,False,1500.973,False,688519.876,85.46,1500.973
gpt-oss 120B,1k-8k,32,False,0.354,False,0.439,False,0.497,mi325x,fp4,4,False,1005.159,False,461081.98,114.262,1005.159
gpt-oss 120B,1k-8k,8,False,0.536,False,0.666,False,0.754,mi325x,fp4,2,False,663.023,False,304138.981,151.227,663.023
gpt-oss 120B,1k-8k,32,False,0.159,False,0.198,False,0.224,mi325x,fp4,1,False,2233.416,False,1024502.639,63.656,2233.416
gpt-oss 120B,1k-8k,64,True,0.11,True,0.137,True,0.155,mi325x,fp4,1,True,3234.11,True,1483536.824,45.698,3234.11
gpt-oss 120B,1k-8k,4,False,1.8,False,2.236,False,2.532,mi325x,fp4,4,False,197.509,False,90600.385,178.632,197.509
gpt-oss 120B,1k-8k,64,True,0.142,True,0.176,True,0.2,mi325x,fp4,2,True,2504.427,True,1148819.625,70.23,2504.427
gpt-oss 120B,1k-8k,4,False,0.553,False,0.687,False,0.778,mi325x,fp4,1,False,642.774,False,294850.592,143.842,642.774
gpt-oss 120B,1k-8k,16,False,0.328,False,0.407,False,0.461,mi325x,fp4,2,False,1085.349,False,497866.491,123.555,1085.349
gpt-oss 120B,1k-8k,8,True,0.812,True,1.009,True,1.142,mi325x,fp4,4,True,437.695,True,200777.542,200.776,437.695
