model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,x,y
gpt-oss 120B,1k-1k,8,False,0.24,False,0.3,False,0.332,mi300x,fp4,1,False,1295.941,False,723989.22,11.301,1295.941
gpt-oss 120B,1k-1k,16,False,0.214,False,0.267,False,0.296,mi300x,fp4,2,False,1455.66,False,813217.633,9.68,1455.66
gpt-oss 120B,1k-1k,4,True,1.526,True,1.959,True,2.165,mi355x,fp4,8,True,269.425,True,101669.972,3.322,269.425
gpt-oss 120B,1k-1k,64,False,0.16,False,0.205,False,0.227,mi355x,fp4,8,False,2573.197,False,971017.793,5.499,2573.197
gpt-oss 120B,1k-1k,16,False,0.255,False,0.327,False,0.362,mi355x,fp4,4,False,1612.921,False,608649.266,4.444,1612.921
gpt-oss 120B,1k-1k,64,True,0.039,True,0.05,True,0.056,mi355x,fp4,1,True,10451.9,True,3944113.068,11.081,10451.9
gpt-oss 120B,1k-1k,16,True,0.451,True,0.579,True,0.64,mi355x,fp4,8,True,910.796,True,343696.507,3.88,910.796
gpt-oss 120B,1k-1k,4,False,0.827,False,1.062,False,1.174,mi355x,fp4,4,False,496.886,False,187504.197,3.602,496.886
gpt-oss 120B,1k-1k,8,True,0.807,True,1.036,True,1.145,mi355x,fp4,8,True,509.34,True,192203.655,3.548,509.34
gpt-oss 120B,1k-1k,32,False,0.267,False,0.343,False,0.38,mi355x,fp4,8,False,1536.948,False,579980.223,4.601,1536.948
gpt-oss 120B,1k-1k,64,False,0.102,False,0.131,False,0.144,mi355x,fp4,4,False,4037.43,False,1523558.568,7.078,4037.43
gpt-oss 120B,1k-1k,32,True,0.061,True,0.078,True,0.086,mi355x,fp4,1,True,6780.816,True,2558798.57,8.54,6780.816
gpt-oss 120B,1k-1k,16,True,0.09,True,0.116,True,0.128,mi355x,fp4,1,True,4561.28,True,1721237.77,6.36,4561.28
gpt-oss 120B,1k-1k,8,True,0.445,True,0.571,True,0.631,mi355x,fp4,4,True,924.687,True,348938.504,3.918,924.687
gpt-oss 120B,1k-1k,32,False,0.159,False,0.204,False,0.226,mi355x,fp4,4,False,2586.171,False,975913.557,5.494,2586.171
gpt-oss 120B,1k-1k,4,True,0.225,True,0.289,True,0.32,mi355x,fp4,1,True,1823.437,True,688089.305,3.95,1823.437
gpt-oss 120B,1k-1k,8,True,0.143,True,0.184,True,0.203,mi355x,fp4,1,True,2872.235,True,1083862.382,5.092,2872.235
