model_name,sequence_length,conc,tp,precision,hwKey,e2e_x_v1,e2e_y_v1,inter_x_v1,inter_y_v1,e2e_x_v2,e2e_y_v2,inter_x_v2,inter_y_v2,e2e_x_diff,e2e_y_diff,inter_x_diff,inter_y_diff,e2e_x_pct_diff,e2e_y_pct_diff,inter_x_pct_diff,inter_y_pct_diff
DeepSeek R1 0528,1k-1k,1024,72,fp8,gb200,26.515,720.361,41.127,720.361,28.041,737.524,41.041,737.524,1.5259999999999998,17.16300000000001,-0.08600000000000563,17.16300000000001,5.755232887045068,2.382555413188667,-0.20910837162935692,2.382555413188667
DeepSeek R1 0528,1k-1k,1075,20,fp4,gb200,20.068,4448.587,49.596,4448.587,19.763,4519.766,49.609,4519.766,-0.3049999999999997,71.17899999999918,0.01300000000000523,71.17899999999918,-1.5198325692644992,1.6000361463089103,0.026211791273500342,1.6000361463089103
DeepSeek R1 0528,1k-1k,1075,20,fp4,gb200_mtp,16.002,5639.577,65.859,5639.577,16.073,5635.404,65.908,5635.404,0.0710000000000015,-4.1729999999997744,0.049000000000006594,-4.1729999999997744,0.44369453818273663,-0.07399491132047269,0.07440137262941526,-0.07399491132047269
DeepSeek R1 0528,1k-1k,1075,36,fp4,gb200,17.608,2812.196,55.684,2812.196,17.619,2807.235,55.676,2807.235,0.010999999999999233,-4.960999999999785,-0.007999999999995566,-4.960999999999785,0.06247160381644271,-0.17641017909135015,-0.014366783995394667,-0.17641017909135015
DeepSeek R1 0528,1k-1k,128,36,fp4,gb200,11.282,558.155,84.636,558.155,11.224,561.15,84.86,561.15,-0.05799999999999983,2.9950000000000045,0.22400000000000375,2.9950000000000045,-0.5140932458783889,0.5365892986715168,0.26466279124722786,0.5365892986715168
DeepSeek R1 0528,1k-1k,128,4,fp4,b200,33.498,1690.53,28.153,1690.53,28.859,1948.187,32.646,1948.187,-4.638999999999996,257.6569999999999,4.493000000000002,257.6569999999999,-13.848587975401506,15.241196547828192,15.959222818172139,15.241196547828192
DeepSeek R1 0528,1k-1k,128,4,fp4,b200_trt,26.875,2124.281,34.516,2124.281,28.712,1987.206,32.281,1987.206,1.8369999999999997,-137.07500000000005,-2.2349999999999994,-137.07500000000005,6.835348837209302,-6.452771549526642,-6.47525785143122,-6.452771549526642
DeepSeek R1 0528,1k-1k,128,8,fp4,b200,23.849,1164.92,39.5,1164.92,23.865,1166.032,39.502,1166.032,0.015999999999998238,1.1119999999998527,0.0020000000000024443,1.1119999999998527,0.06708876682459741,0.09545719877758581,0.005063291139246694,0.09545719877758581
DeepSeek R1 0528,1k-1k,128,8,fp4,b200_trt,25.904,1103.447,35.816,1103.447,23.246,1225.62,39.87,1225.62,-2.6580000000000013,122.173,4.053999999999995,122.173,-10.260963557751705,11.071940926931697,11.31896359169085,11.071940926931697
DeepSeek R1 0528,1k-1k,144,36,fp4,gb200_mtp,7.945,861.171,128.723,861.171,7.945,864.516,129.513,864.516,0.0,3.3449999999999136,0.789999999999992,3.3449999999999136,0.0,0.38842459859887446,0.613720935652519,0.38842459859887446
DeepSeek R1 0528,1k-1k,16,36,fp4,gb200,7.049,113.417,133.737,113.417,7.102,113.246,133.415,113.246,0.052999999999999936,-0.17100000000000648,-0.32200000000000273,-0.17100000000000648,0.7518796992481194,-0.15077104843189865,-0.2407710655989014,-0.15077104843189865
DeepSeek R1 0528,1k-1k,16,36,fp4,gb200_mtp,4.542,169.01,213.299,169.01,4.48,169.4,216.366,169.4,-0.06199999999999939,0.3900000000000148,3.0670000000000073,0.3900000000000148,-1.3650374284456053,0.23075557659310975,1.437887660045292,0.23075557659310975
DeepSeek R1 0528,1k-1k,16,4,fp4,b200,13.693,536.728,69.286,536.728,13.702,536.3,69.266,536.3,0.009000000000000341,-0.42799999999999727,-0.01999999999999602,-0.42799999999999727,0.0657270138026754,-0.07974243937338789,-0.028865860346961897,-0.07974243937338789
DeepSeek R1 0528,1k-1k,16,4,fp4,b200_trt,12.828,562.416,71.82,562.416,12.823,562.224,72.062,562.224,-0.004999999999999005,-0.19200000000000728,0.24200000000000443,-0.19200000000000728,-0.03897723729341289,-0.03413843133908126,0.3369534948482379,-0.03413843133908126
DeepSeek R1 0528,1k-1k,16,4,fp4,mi355x,23.978,306.265,38.863,306.265,23.894,307.073,38.935,307.073,-0.08400000000000318,0.8079999999999927,0.07200000000000273,0.8079999999999927,-0.3503211277004053,0.2638238127112118,0.18526619149320106,0.2638238127112118
DeepSeek R1 0528,1k-1k,16,8,fp4,b200,11.445,320.567,83.358,320.567,11.494,319.702,83.117,319.702,0.04899999999999949,-0.8650000000000091,-0.24099999999999966,-0.8650000000000091,0.42813455657491906,-0.26983438719519137,-0.28911442213104876,-0.26983438719519137
DeepSeek R1 0528,1k-1k,16,8,fp4,b200_trt,11.315,318.608,81.611,318.608,11.141,324.666,83.157,324.666,-0.1739999999999995,6.057999999999993,1.5459999999999923,6.057999999999993,-1.5377817057003933,1.9013960729171875,1.8943524769945133,1.9013960729171875
DeepSeek R1 0528,1k-1k,16,8,fp4,mi355x,14.874,245.202,63.125,245.202,14.872,245.374,63.151,245.374,-0.002000000000000668,0.17199999999999704,0.026000000000003354,0.17199999999999704,-0.013446282103003011,0.0701462467679697,0.0411881188118865,0.0701462467679697
DeepSeek R1 0528,1k-1k,16,8,fp8,b200,14.392,253.811,65.682,253.811,13.933,262.037,67.539,262.037,-0.45899999999999963,8.22599999999997,1.8569999999999993,8.22599999999997,-3.1892718176764845,3.240994283147685,2.827258609664747,3.240994283147685
