model_name,sequence_length,conc,tp,precision,hwKey_v1,hwKey_v2,e2e_x_v1,e2e_x_v2,e2e_x_abs_diff,e2e_x_pct_diff,e2e_y_v1,e2e_y_v2,e2e_y_abs_diff,e2e_y_pct_diff,inter_x_v1,inter_x_v2,inter_x_abs_diff,inter_x_pct_diff,inter_y_v1,inter_y_v2,inter_y_abs_diff,inter_y_pct_diff
DeepSeek R1 0528,1k-8k,16,8,fp8,mi355x,mi355x,165.536,165.373,0.16300000000001091,0.09846800695921787,99.304,99.482,0.17799999999999727,0.17924756303874695,44.798,44.955,0.15699999999999648,0.3504620741997332,99.304,99.482,0.17799999999999727,0.17924756303874695
DeepSeek R1 0528,8k-1k,4,8,fp8,h200,h200,12.912,12.9,0.012000000000000455,0.09293680297398121,310.26,311.235,0.9750000000000227,0.31425256236705434,72.555,72.53,0.025000000000005684,0.03445661911654012,310.26,311.235,0.9750000000000227,0.31425256236705434
DeepSeek R1 0528,1k-1k,32,4,fp4,mi355x,mi355x,29.333,29.36,0.027000000000001023,0.09204650052841859,499.04,499.051,0.010999999999967258,0.002204232125674747,31.743,31.72,0.022999999999999687,0.07245691963582424,499.04,499.051,0.010999999999967258,0.002204232125674747
Llama 3.3 70B Instruct,1k-1k,16,2,fp8,h200,h200,14.487,14.5,0.0129999999999999,0.08973562504314143,990.491,990.097,0.39400000000000546,0.03977825139249175,63.513,63.506,0.006999999999997897,0.011021365704655577,990.491,990.097,0.39400000000000546,0.03977825139249175
DeepSeek R1 0528,1k-8k,4,8,fp8,h200,h200,89.829,89.757,0.07199999999998852,0.08015228934975177,44.299,44.274,0.02499999999999858,0.056434682498473054,79.541,79.36,0.18099999999999739,0.2275556002564682,44.299,44.274,0.02499999999999858,0.056434682498473054
DeepSeek R1 0528,8k-1k,4,8,fp8,mi325x,mi325x,21.906,21.889,0.01699999999999946,0.07760430932164458,181.8,181.814,0.013999999999981583,0.00770077007699757,42.506,42.516,0.00999999999999801,0.02352609043428695,181.8,181.814,0.013999999999981583,0.00770077007699757
DeepSeek R1 0528,1k-1k,32,4,fp4,b200,b200,17.262,17.275,0.012999999999998124,0.075309929324517,788.623,787.915,0.7080000000000837,0.08977673742714626,54.679,54.64,0.03900000000000148,0.07132537171492068,788.623,787.915,0.7080000000000837,0.08977673742714626
DeepSeek R1 0528,1k-1k,5120,72,fp8,gb200,gb200,32.059,32.082,0.02300000000000324,0.07174272435198616,3531.327,3523.865,7.462000000000444,0.2113086666853691,30.02,29.514,0.5060000000000002,1.6855429713524324,3531.327,3523.865,7.462000000000444,0.2113086666853691
DeepSeek R1 0528,1k-1k,128,8,fp4,b200,b200,23.849,23.865,0.015999999999998238,0.06708876682459741,1164.92,1166.032,1.1119999999998527,0.09545719877758581,39.5,39.502,0.0020000000000024443,0.005063291139246694,1164.92,1166.032,1.1119999999998527,0.09545719877758581
Llama 3.3 70B Instruct,1k-1k,16,4,fp8,h100,h100,12.169,12.177,0.007999999999999119,0.06574081682964186,591.222,590.857,0.3650000000000091,0.06173653889740387,75.589,75.518,0.07099999999999795,0.09392901083490714,591.222,590.857,0.3650000000000091,0.06173653889740387
DeepSeek R1 0528,1k-8k,256,8,fp4,b200_trt,b200_trt,196.746,196.622,0.12399999999999523,0.06302542364266375,1297.792,1296.738,1.05399999999986,0.08121486339874649,37.67,37.63,0.03999999999999915,0.10618529333687057,1297.792,1296.738,1.05399999999986,0.08121486339874649
DeepSeek R1 0528,1k-1k,1075,36,fp4,gb200,gb200,17.608,17.619,0.010999999999999233,0.06247160381644271,2812.196,2807.235,4.960999999999785,0.17641017909135015,55.684,55.676,0.007999999999995566,0.014366783995394667,2812.196,2807.235,4.960999999999785,0.17641017909135015
DeepSeek R1 0528,8k-1k,64,8,fp8,mi355x,mi355x,50.282,50.309,0.027000000000001023,0.05369714808480376,1313.121,1312.778,0.3430000000000746,0.026120974380889082,18.467,18.464,0.0030000000000001137,0.01624519413007047,1313.121,1312.778,0.3430000000000746,0.026120974380889082
DeepSeek R1 0528,1k-1k,4096,72,fp8,gb200,gb200,29.853,29.869,0.015999999999998238,0.053595953505504425,3058.274,3005.539,52.73499999999967,1.7243386302208266,32.944,32.947,0.0030000000000001137,0.00910636231180219,3058.274,3005.539,52.73499999999967,1.7243386302208266
DeepSeek R1 0528,1k-8k,4,8,fp4,mi355x,mi355x,96.424,96.475,0.05099999999998772,0.052891396332850456,42.234,42.205,0.029000000000003467,0.06866505658948588,76.548,76.528,0.01999999999999602,0.026127397188686865,42.234,42.205,0.029000000000003467,0.06866505658948588
Llama 3.3 70B Instruct,1k-8k,4,8,fp8,mi300x,mi300x,62.704,62.733,0.028999999999996362,0.04624904312323993,63.362,63.5,0.13799999999999812,0.21779615542438388,114.268,114.572,0.30400000000000205,0.26604123639164245,63.362,63.5,0.13799999999999812,0.21779615542438388
Llama 3.3 70B Instruct,1k-1k,4,1,fp8,b200,mi355x,15.17,15.165,0.005000000000000782,0.032959789057355186,473.234,474.215,0.9809999999999945,0.2072970243050995,61.324,61.349,0.02499999999999858,0.0407670732502749,473.234,474.215,0.9809999999999945,0.2072970243050995
DeepSeek R1 0528,1k-1k,564,36,fp4,gb200,gb200,16.864,16.869,0.004999999999999005,0.029648956356730344,1589.09,1591.507,2.4170000000001437,0.15209962934762308,59.877,59.914,0.036999999999999034,0.061793343019855757,1589.09,1591.507,2.4170000000001437,0.15209962934762308
Llama 3.3 70B Instruct,1k-8k,64,4,fp8,b200_trt,b200_trt,77.272,77.251,0.021000000000000796,0.027176726369190385,1660.658,1660.675,0.01700000000005275,0.0010236906093881312,94.872,94.838,0.034000000000006025,0.035837760350794785,1660.658,1660.675,0.01700000000005275,0.0010236906093881312
DeepSeek R1 0528,1k-8k,64,8,fp8,b200,b200,183.804,183.849,0.044999999999987494,0.024482601031526788,351.45,351.451,0.0010000000000331966,0.00028453549581254704,40.398,40.409,0.01099999999999568,0.027229070746065842,351.45,351.451,0.0010000000000331966,0.00028453549581254704
DeepSeek R1 0528,1k-8k,16,4,fp4,b200,b200,110.243,110.268,0.025000000000005684,0.022677176782204482,299.309,299.272,0.03700000000003456,0.012361806694765129,67.595,67.583,0.012000000000000455,0.017752792366299956,299.309,299.272,0.03700000000003456,0.012361806694765129
DeepSeek R1 0528,1k-1k,256,4,fp4,b200_trt,b200_trt,32.954,32.961,0.006999999999997897,0.021241730897608474,3427.9,3429.334,1.4339999999997417,0.04183319233349111,28.701,28.715,0.013999999999999346,0.04877878819553098,3427.9,3429.334,1.4339999999997417,0.04183319233349111
DeepSeek R1 0528,1k-1k,8192,72,fp8,gb200,gb200,42.969,42.96,0.009000000000000341,0.020945332681701553,4073.539,4147.425,73.88599999999997,1.813803672924206,24.859,24.358,0.5010000000000012,2.0153666680075673,4073.539,4147.425,73.88599999999997,1.813803672924206
DeepSeek R1 0528,1k-8k,16,8,fp8,b200,b200,119.822,119.799,0.022999999999996135,0.019195139456857784,137.629,137.724,0.09499999999999886,0.06902615001198793,62.348,62.359,0.011000000000002785,0.0176429075511689,137.629,137.724,0.09499999999999886,0.06902615001198793
DeepSeek R1 0528,8k-1k,32,8,fp8,b200_trt,b200_trt,27.531,27.526,0.004999999999999005,0.01816134539246306,1164.6,1167.282,2.6820000000000164,0.23029366306027962,33.918,34.052,0.13400000000000034,0.39507046406038193,1164.6,1167.282,2.6820000000000164,0.23029366306027962
DeepSeek R1 0528,1k-1k,8,36,fp4,gb200,gb200,6.375,6.374,0.001000000000000334,0.01568627450980916,61.146,61.214,0.06799999999999784,0.11120923690837968,149.569,149.75,0.1810000000000116,0.1210143813223406,61.146,61.214,0.06799999999999784,0.11120923690837968
DeepSeek R1 0528,1k-1k,16,8,fp4,mi355x,mi355x,14.874,14.872,0.002000000000000668,0.013446282103003011,245.202,245.374,0.17199999999999704,0.0701462467679697,63.125,63.151,0.026000000000003354,0.0411881188118865,245.202,245.374,0.17199999999999704,0.0701462467679697
DeepSeek R1 0528,8k-1k,4,8,fp4,b200_trt,b200_trt,7.694,7.695,0.001000000000000334,0.012997140629065948,518.165,518.626,0.46100000000001273,0.08896779983210228,121.123,121.282,0.15899999999999181,0.1312715173831492,518.165,518.626,0.46100000000001273,0.08896779983210228
DeepSeek R1 0528,1k-1k,2048,72,fp8,gb200,gb200,24.953,24.95,0.0030000000000001137,0.012022602492686706,1808.268,1806.204,2.064000000000078,0.11414237270139593,40.47,40.066,0.40399999999999636,0.9982703236965564,1808.268,1806.204,2.064000000000078,0.11414237270139593
DeepSeek R1 0528,1k-1k,4,4,fp4,b200,b200,8.479,8.48,0.0010000000000012221,0.011793843613648098,215.234,215.01,0.22400000000001796,0.10407277660593492,111.298,111.238,0.060000000000002274,0.05390932451616586,215.234,215.01,0.22400000000001796,0.10407277660593492
DeepSeek R1 0528,1k-8k,4,8,fp8,h200_trt,h200_trt,98.656,98.653,0.0030000000000001137,0.0030408692831658626,40.374,40.423,0.04899999999999949,0.12136523505226009,72.765,72.741,0.02400000000000091,0.032982890125748524,40.374,40.423,0.04899999999999949,0.12136523505226009
DeepSeek R1 0528,1k-1k,144,36,fp4,gb200_mtp,gb200_mtp,7.945,7.945,0.0,0.0,861.171,864.516,3.3449999999999136,0.38842459859887446,128.723,129.513,0.789999999999992,0.613720935652519,861.171,864.516,3.3449999999999136,0.38842459859887446
Llama 3.3 70B Instruct,8k-1k,8,8,fp8,h100,h100,11.114,11.114,0.0,0.0,734.114,734.269,0.15499999999997272,0.021113886943985905,86.218,86.231,0.012999999999991019,0.015078057946126119,734.114,734.269,0.15499999999997272,0.021113886943985905
